// <Skill id>,<Cast>,<Delay (optional)>
//
// Cast:  0 - everything affects the skill's cast time
//        1 - skill's cast time is not affected by dex
//        2 - skill's cast time is not affected by statuses (Suffragium, etc)
//        4 - skill's cast time is not affected by item bonuses (equip, cards)
//
// Delay: 0 - everything affects the skill's delay
//        1 - skill's delay is not affected by dex
//        2 - skill's delay is not affected by Magic Strings / Bragi
//        4 - skill's delay is not affected by item bonuses (equip, cards)
//
// Note: Values are bit fields, add them up to combine their effects.
// Note: Delay setting '1' only makes sense when delay_dependon_dex is enabled.
// Example: 46,1,1 = Double Strafe's cast time and delay is not affected by dex.

1,0,7	 	 //Basic Skill
233,0,7	 	 //Summon Marine Sphere
234,0,7	 	 //Alchemical Weapon
235,0,7	 	 //Synthesized Shield
236,0,7	 	 //Synthetic Armor
237,0,7	 	 //Biochemical Helm
238,0,7	 	 //Bioethics
243,0,7	 	 //Call Homunculus
244,0,7	 	 //Vaporize
247,0,7	 	 //Homunculus Resurrection
248,0,7	 	 //Faith
249,0,7	 	 //Guard
250,0,7	 	 //Smite
251,0,7	 	 //Shield Boomerang
252,0,7	 	 //Shield Reflect
253,0,7	 	 //Holy Cross
254,0,7	 	 //Grand Cross
255,0,7	 	 //Sacrifice
256,0,7	 	 //Resistant Souls
257,0,7	 	 //Defending Aura
258,0,7	 	 //Spear Quicken
259,0,7	 	 //Iron Fists
260,0,7	 	 //Spiritual Cadence
261,0,7	 	 //Summon Spirit Sphere
262,0,7	 	 //Absorb Spirit Sphere
264,0,7	 	 //Snap
265,0,7	 	 //Dodge
266,0,7	 	 //Occult Impaction
268,0,7	 	 //Mental Strength
269,0,7	 	 //Root
272,0,7	 	 //Raging Quadruple Blow
273,0,7	 	 //Raging Thrust
274,0,7	 	 //Study
275,0,7	 	 //Cast Cancel
276,0,7	 	 //Magic Rod
277,0,7	 	 //Spell Breaker
278,0,7	 	 //Free Cast
279,0,7	 	 //Hindsight
280,0,7	 	 //Endow Blaze
281,0,7	 	 //Endow Tsunami
282,0,7	 	 //Endow Tornado
283,0,7	 	 //Endow Quake
284,0,7	 	 //Dragonology
285,0,7	 	 //Volcano
286,0,7	 	 //Deluge
287,0,7	 	 //Whirlwind
288,0,7	 	 //Magnetic Earth
289,0,7	 	 //Dispell
290,0,7	 	 //Hocus-pocus
291,0,7	 	 //Monocell
292,0,7	 	 //Class Change
293,0,7	 	 //Monster Chant
294,0,7	 	 //Grampus Morph
295,0,7	 	 //Grim Reaper
296,0,7	 	 //Gold Digger
297,0,7	 	 //Beastly Hypnosis
298,0,7	 	 //Questioning
299,0,7	 	 //Gravity
300,0,7	 	 //Leveling
301,0,7	 	 //Suicide
302,0,7	 	 //Rejuvenation
303,0,7	 	 //Coma
304,0,7	 	 //Amp
305,0,7	 	 //Encore
306,0,7	 	 //Lullaby
307,0,7	 	 //Mental Sensing
308,0,7	 	 //Down Tempo
309,0,7	 	 //Battle Theme
310,0,7	 	 //Harmonic Lick
311,0,7	 	 //Classical Pluck
312,0,7	 	 //Power Chord
313,0,7	 	 //Acoustic Rhythm
315,0,7	 	 //Music Lessons
316,0,7	 	 //Melody Strike
317,0,7	 	 //Unchained Serenade
318,0,7	 	 //Unbarring Octave
319,0,7	 	 //Perfect Tablature
320,0,7	 	 //Impressive Riff
321,0,7	 	 //Magic Strings
322,0,7	 	 //Song of Lutie
323,0,7	 	 //Dance Lessons
324,0,7	 	 //Slinging Arrow
325,0,7	 	 //Hip Shaker
326,0,7	 	 //Dazzler
327,0,7	 	 //Focus Ballet
328,0,7	 	 //Slow Grace
329,0,7	 	 //Lady Luck
330,0,7	 	 //Gypsy's Kiss
331,0,7	 	 //Random Move
332,0,7	 	 //Speed UP
333,0,7	 	 //Revenge
334,0,7	 	 //I Will Protect You
335,0,7	 	 //I Look up to You
336,0,7	 	 //I miss You
337,0,7	 	 //Throw Tomahawk
338,0,7	 	 //Cross of Darkness
339,0,7	 	 //Grand cross of Darkness
340,0,7	 	 //Soul Strike of Darkness
341,0,7	 	 //Darkness Jupitel
342,0,7	 	 //Stop
343,0,7	 	 //Break weapon
344,0,7	 	 //Break armor
345,0,7	 	 //Break helm
346,0,7	 	 //Break shield
347,0,7	 	 //Undead Element Attack
348,0,7	 	 //Undead Attribute Change
349,0,7	 	 //Power Up
350,0,7	 	 //Agility UP
351,0,7	 	 //Siege Mode
352,0,7	 	 //Recall Slaves
353,0,7	 	 //Invisible
354,0,7	 	 //Run
355,0,7	 	 //Aura Blade
356,0,7	 	 //Parrying
357,0,7	 	 //Concentration
358,0,7	 	 //Relax
359,0,7	 	 //Frenzy
361,0,7	 	 //Assumptio
362,0,7	 	 //Basilica
363,0,7	 	 //Meditatio
364,0,7	 	 //Soul Drain
365,0,7	 	 //Stave Crasher
366,0,7	 	 //Mystical Amplification
367,0,7	 	 //Gloria Domini
368,0,7	 	 // Martyr's Reckoning
369,0,7	 	 //Battle Chant
370,0,7	 	 //Raging Palm Strike
371,0,7	 	 //Glacier Fist
372,0,7	 	 //Chain Crush Combo
373,0,7	 	 //Indulge
374,0,7	 	 //Soul Exhale
375,0,7	 	 //Soul Siphon
376,0,7	 	 //Advanced Katar Mastery
378,0,7	 	 //Enchant Deadly Poison
379,0,7	 	 //Soul Destroyer
380,0,7	 	 //Falcon Eyes
381,0,7	 	 //Falcon Assault
382,0,7	 	 //Focused Arrow Strike
383,0,7	 	 //Wind Walker
384,0,7	 	 //Shattering Strike
387,0,7	 	 //Cart Boost
389,0,7	 	 //Stealth
390,0,7	 	 //Counter Instinct
392,0,7	 	 //Alchemy
393,0,7	 	 //Potion Synthesis
394,0,7	 	 //Vulcan Arrow
395,0,7	 	 //Sheltering Bliss
396,0,7	 	 //Marionette Control
397,0,7	 	 //Spiral Pierce
398,0,7	 	 //Traumatic Blow
399,0,7	 	 //Vital Strike
400,0,7	 	 //Napalm Vulcan
402,0,7	 	 //Mind Breaker
403,0,7	 	 //Foresight
404,0,7	 	 //Blinding Mist
405,0,7	 	 //Fiber Lock
406,0,7	 	 //Meteor Assault
407,0,7	 	 //Create Deadly Poison
408,0,7	 	 //Baby
409,0,7	 	 //Call Parent
410,0,7	 	 //Call Baby
411,0,7	 	 //Running
412,0,7	 	 //Tornado Stance
413,0,7	 	 //Tornado Kick
414,0,7	 	 //Heel Drop Stance
415,0,7	 	 //Heel Drop
416,0,7	 	 //Roundhouse Stance
417,0,7	 	 //Roundhouse Kick
418,0,7	 	 //Counter Kick Stance
419,0,7	 	 //Counter Kick
420,0,7	 	 //Tumbling
421,0,7	 	 //Flying Kick
422,0,7	 	 //Peaceful Break
423,0,7	 	 //Happy Break
424,0,7	 	 //Kihop
425,0,7	 	 //Mild Wind
426,0,7	 	 //Taekwon Jump
427,0,7	 	 //Feeling the Sun Moon and Stars
428,0,7	 	 //Warmth of the Sun
429,0,7	 	 //Warmth of the Moon
430,0,7	 	 //Warmth of the Stars
431,0,7	 	 //Comfort of the Sun
432,0,7	 	 //Comfort of the Moon
433,0,7	 	 //Comfort of the Stars
434,0,7	 	 //Hatred of the Sun Moon and Stars
435,0,7	 	 //Anger of the Sun
436,0,7	 	 //Anger of the Moon
437,0,7	 	 //Anger of the Stars
438,0,7	 	 //Blessing of the Sun
439,0,7	 	 //Blessing of the Moon
440,0,7	 	 //Blessing of the Stars
441,0,7	 	 //Demon of the Sun Moon and Stars
442,0,7	 	 //Friend of the Sun Moon and Stars
443,0,7	 	 //Knowledge of the Sun Moon and Stars
444,0,7	 	 //Union of the Sun Moon and Stars
445,0,7	 	 //Spirit of the Alchemist
446,0,7	 	 //Aid Berserk Potion
447,0,7	 	 //Spirit of the Monk
448,0,7	 	 //Spirit of the Star Gladiator
449,0,7	 	 //Spirit of the Sage
450,0,7	 	 //Spirit of the Crusader
451,0,7	 	 //Spirit of the Supernovice
452,0,7	 	 //Spirit of the Knight
453,0,7	 	 //Spirit of the Wizard
454,0,7	 	 //Spirit of the Priest
455,0,7	 	 //Spirit of the Artist
456,0,7	 	 //Spirit of the Rogue
457,0,7	 	 //Spirit of the Assasin
458,0,7	 	 //Spirit of the Blacksmith
459,0,7	 	 //Advanced Adrenaline Rush
460,0,7	 	 //Spirit of the Hunter
461,0,7	 	 //Spirit of the Soul Linker
462,0,7	 	 //Kaizel
463,0,7	 	 //Kaahi
464,0,7	 	 //Kaupe
465,0,7	 	 //Kaite
466,0,7	 	 //Kaina
467,0,7	 	 //Estin
468,0,7	 	 //Estun
469,0,7	 	 //Esma
470,0,7	 	 //Eswoo
471,0,7	 	 //Eske
472,0,7	 	 //Eska
473,0,7	 	 //Provoke Self
474,0,7	 	 //Emotion ON
475,0,7	 	 //Preserve
476,0,7	 	 //Divest All
477,0,7	 	 //Upgrade Weapon
478,0,7	 	 //Aid Condensed Potion
479,0,7	 	 //Full Protection
480,0,7	 	 //Shield Chain
481,0,7	 	 //Mana Recharge
482,0,7	 	 //Double Casting
483,0,7	 	 //Ganbantein
484,0,7	 	 //Gravitation Field
485,0,7	 	 //Cart Termination
486,0,7	 	 //Maximum Power Thrust
487,0,7	 	 //Longing for Freedom
488,0,7	 	 //Wand of Hermode
489,0,7	 	 //Tarot Card of Fate
490,0,7	 	 //Acid Demonstration
491,0,7	 	 //Plant Cultivation
492,0,7	 	 //Weapon Enchantment
493,0,7	 	 //Taekwon Mission
494,0,7	 	 //Spirit of Rebirth
495,0,7	 	 //Onehand Quicken
496,0,7	 	 //Twilight Alchemy 1
497,0,7	 	 //Twilight Alchemy 2
498,0,7	 	 //Twilight Alchemy 3
499,0,7	 	 //Beast Strafing
500,0,7	 	 //Flip the Coin
501,0,7	 	 //Fling
502,0,7	 	 //Triple Action
503,0,7	 	 //Bulls Eye
504,0,7	 	 //Madness Canceller
505,0,7	 	 //AdJustment
506,0,7	 	 //Increasing Accuracy
507,0,7	 	 //Magical Bullet
508,0,7	 	 //Cracker
509,0,7	 	 //Single Action
510,0,7	 	 //Snake Eye
511,0,7	 	 //Chain Action
512,0,7	 	 //Tracking
513,0,7	 	 //Disarm
514,0,7	 	 //Piercing Shot
515,0,7	 	 //Rapid Shower
516,0,7	 	 //Desperado
517,0,7	 	 //Gatling Fever
518,0,7	 	 //Dust
519,0,7	 	 //Full Buster
520,0,7	 	 //Spread Attack
521,0,7	 	 //Ground Drift
522,0,7	 	 //Shuriken Training
523,0,7	 	 //Throw Shuriken
524,0,7	 	 //Throw Kunai
525,0,7	 	 //Throw Huuma Shuriken
526,0,7	 	 //Throw Zeny
527,0,7	 	 //Improvised Defense
528,0,7	 	 //Vanishing Slash
529,0,7	 	 //Shadow Leap
530,0,7	 	 //Shadow Slash
531,0,7	 	 //Cicada Skin Sheeding
532,0,7	 	 //Mirror Image
533,0,7	 	 //Spirit of the Blade
534,0,7	 	 //Crimson Fire Petal
535,0,7	 	 //Crimson Fire Formation
536,0,7	 	 //Raging Fire Dragon
537,0,7	 	 //Spear of Ice
538,0,7	 	 //Hidden Water
539,0,7	 	 //Ice Meteor
540,0,7	 	 //Wind Blade
541,0,7	 	 //Lightning Strike of Destruction
542,0,7	 	 //Kamaitachi
543,0,7	 	 //Soul
544,0,7	 	 //Final Strike
653,0,7	 	 //Earthquake
654,0,7	 	 //Fire Breath
655,0,7	 	 //Ice Breath
656,0,7	 	 //Thunder Breath
657,0,7	 	 //Acid Breath
658,0,7	 	 //Darkness Breath
659,0,7	 	 //Dragon Fear
660,0,7	 	 //Bleeding
661,0,7	 	 //Pulse Strike
662,0,7	 	 //Hell's Judgement
663,0,7	 	 //Wide Silence
664,0,7	 	 //Wide Freeze
665,0,7	 	 //Wide Bleeding
666,0,7	 	 //Wide Petrify
667,0,7	 	 //Wide Confusion
668,0,7	 	 //Wide Sleep
669,0,7	 	 //Wide Sight
670,0,7	 	 //Evil Land
671,0,7	 	 //Magic Mirror
672,0,7	 	 //Slow Cast
673,0,7	 	 //Critical Wounds
674,0,7	 	 //Expulsion
675,0,7	 	 //Stone Skin
676,0,7	 	 //Anti Magic
677,0,7	 	 //Wide Curse
678,0,7	 	 //Wide Stun
679,0,7	 	 //Vampire Gift
680,0,7	 	 //Wide Soul Drain
681,0,7	 	 //Increase Weight Limit R
682,0,7	 	 //Talk
683,0,7	 	 //Hell Power
684,0,7	 	 //Hell Dignity
685,0,7	 	 //Invincible
686,0,7	 	 //Invincible off
687,0,7	 	 //Full Heal
688,0,7	 	 //GM Sandman
689,0,7	 	 //Party Blessing
690,0,7	 	 //Party Increase AGI
691,0,7	 	 //Party Assumptio
692,0,7	 	 //Cat Cry
693,0,7	 	 //Party Flee
694,0,7	 	 //Angel's Protection
695,0,7	 	 //Summer Night Dream
697,0,7	 	 //Reverse Orcish
698,0,7	 	 //Christmas Carol
1001,0,7	 //Charge Attack
1002,0,7	 //Shrink
1003,0,7	 //Sonic Acceleration
1004,0,7	 //Throw Venom Knife
1005,0,7	 //Close Confine
1006,0,7	 //Sight Blaster
1007,0,7	 //Create Elemental Converter
1008,0,7	 //Elemental Change Water
1009,0,7	 //Phantasmic Arrow
1010,0,7	 //Pang Voice
1011,0,7	 //Wink of Charm
1012,0,7	 //Unfair Trick
1013,0,7	 //Greed
1014,0,7	 //Redemptio
1015,0,7	 //Ki Translation
1016,0,7	 //Ki Explosion
1017,0,7	 //Elemental Change Earth
1018,0,7	 //Elemental Change Fire
1019,0,7	 //Elemental Change Wind
2001,0,7	 //Enchant Blade
2002,0,7	 //Sonic Wave
2003,0,7	 //Death Bound
2004,0,7	 //Hundred Spear
2005,0,7	 //Wind Cutter
2006,0,7	 //Ignition Break
2007,0,7	 //Dragon Training
2008,0,7	 //Dragon Breath
2009,0,7	 //Dragon Howling
2010,0,7	 //Rune Mastery
2011,0,7	 //Millenium Shield
2012,0,7	 //Crush Strike
2013,0,7	 //Refresh
2014,0,7	 //Giant Growth
2015,0,7	 //Stone Hard Skin
2016,0,7	 //Vitality Activation
2017,0,7	 //Storm Blast
2019,0,7	 //Abundance
2020,0,7	 //Phantom Thrust
2021,0,7	 //Venom Impress
2022,0,7	 //Cross Impact
2023,0,7	 //Dark Illusion
2024,0,7	 //Research New Poison
2025,0,7	 //Create New Poison
2026,0,7	 //Antidote
2027,0,7	 //Poisoning Weapon
2028,0,7	 //Weapon Blocking
2029,0,7	 //Counter Slash
2031,0,7	 //Venom Pressure
2032,0,7	 //Poison Smoke
2033,0,7	 //Cloaking Exceed
2034,0,7	 //Phantom Menace
2035,0,7	 //Hallucination Walk
2036,0,7	 //Rolling Cutter
2037,0,7	 //Cross Ripper Slasher
2038,0,7	 //Judex
2039,0,7	 //Ancilla
2040,0,7	 //Adoramus
2041,0,7	 //Crementia
2042,0,7	 //Canto Candidus
2043,0,7	 //Coluceo Heal
2044,0,7	 //Epiclesis
2045,0,7	 //Praefatio
2046,0,7	 //Oratio
2047,0,7	 //Lauda Agnus
2048,0,7	 //Lauda Ramus
2049,0,7	 //Eucharistica
2050,0,7	 //Renovatio
2055,0,7	 //Duple Light Melee
2056,0,7	 //Duple Light Magic
2201,0,7	 //White Imprison
2202,0,7	 //Soul Expansion
2203,0,7	 //Frosty Misty
2204,0,7	 //Jack Frost
2205,0,7	 //Marsh of Abyss
2206,0,7	 //Recognized Spell
2207,0,7	 //Sienna Execrate
2208,0,7	 //Radius
2209,0,7	 //Stasis
2210,0,7	 //Drain Life
2211,0,7	 //Crimson Rock
2212,0,7	 //Hell Inferno
2213,0,7	 //Comet
2214,0,7	 //Chain Lightning 
2215,0,7	 //Chain Lightning Attack
2216,0,7	 //Earth Strain
2217,0,7	 //Tetra Vortex
2218,0,7	 //Tetra Vortex Fire
2219,0,7	 //Tetra Vortex Water
2220,0,7	 //Tetra Vortex Wind
2221,0,7	 //Tetra Vortex Earth
2222,0,7	 //Summon Fire Ball
2223,0,7	 //Summon Lightning Ball
2224,0,7	 //Summon Water Ball
2225,0,7	 //Summon Attack Fire 
2226,0,7	 //Summon Attack Wind
2227,0,7	 //Summon Attack Water
2228,0,7	 //Summon Attack Earth
2229,0,7	 //Summon Stone
2230,0,7	 //Release
2231,0,7	 //Reading Spellbook
2232,0,7	 //Freeze Spell
2233,0,7	 //Arrow Storm
2234,0,7	 //Fear Breeze
2235,0,7	 //Ranger Main
2236,0,7	 //Aimed Bolt
2237,0,7	 //Detonator
2238,0,7	 //Electric Shocker
2239,0,7	 //Cluster Bomb
2240,0,7	 //Warg Mastery
2241,0,7	 //Warg Rider
2242,0,7	 //Warg Dash
2243,0,7	 //Warg Strike
2244,0,7	 //Warg Bite
2245,0,7	 //Tooth of Warg
2246,0,7	 //Sensitive Keen
2247,0,7	 //Camouflage
2248,0,7	 //Research Trap
2249,0,7	 //Magenta Trap
2250,0,7	 //Cobalt Trap
2251,0,7	 //Maize Trap
2252,0,7	 //Verdure Trap
2253,0,7	 //Firing Trap
2254,0,7	 //Icebound Trap
2255,0,7	 //Mado License
2256,0,7	 //Boost Knuckle
2257,0,7	 //Pile Bunker
2258,0,7	 //Vulcan Arm
2259,0,7	 //Flame Launcher
2260,0,7	 //Cold Slower
2261,0,7	 //Arm Cannon
2262,0,7	 //Acceleration
2263,0,7	 //Hovering
2264,0,7	 //Front-Side Slide
2265,0,7	 //Back-Side Slide
2267,0,7	 //Self Destruction
2268,0,7	 //Shape Shift
2269,0,7	 //Emergency Cool
2270,0,7	 //Infrared Scan
2271,0,7	 //Analyze
2272,0,7	 //Magnetic Field
2273,0,7	 //Neutral Barrier
2274,0,7	 //Stealth Field
2275,0,7	 //Repair
2276,0,7	 //Axe Training
2277,0,7	 //Research Fire/Earth
2278,0,7	 //Axe Boomerang
2279,0,7	 //Power Swing
2281,0,7	 //FAW - Silver Sniper
2283,0,7	 //FAW Removal
2284,0,7	 //Fatal Menace
2285,0,7	 //Reproduce
2286,0,7	 //Auto Shadow Spell
2287,0,7	 //Shadow Form
2288,0,7	 //Triangle Shot
2289,0,7	 //Body Painting
2290,0,7	 //Invisibility
2291,0,7	 //Deadly Infect
2292,0,7	 //Masquerade - Enervation
2293,0,7	 //Masquerade - Gloomy
2294,0,7	 //Masquerade - Ignorance
2295,0,7	 //Masquerade - Laziness
2296,0,7	 //Masquerade - Unlucky
2297,0,7	 //Masquerade - Weakness
2299,0,7	 //Man Hole
2300,0,7	 //Dimension Door
2301,0,7	 //Chaos Panic
2302,0,7	 //Maelstrom
2303,0,7	 //Bloody Lust
2304,0,7	 //Feint Bomb
2307,0,7	 //Cannon Spear
2308,0,7	 //Banishing Point
2309,0,7	 //Trample
2310,0,7	 //Shield Press
2311,0,7	 //Reflect Damage
2312,0,7	 //Pinpoint Attack
2313,0,7	 //Force of Vanguard
2314,0,7	 //Rage Burst
2315,0,7	 //Shield Spell
2316,0,7	 //Exceed Break
2318,0,7	 //Prestige
2320,0,7	 //Moon Slasher
2321,0,7	 //Ray of Genesis
2322,0,7	 //Piety
2323,0,7	 //Earth Drive
2324,0,7	 //Hesperus Lit
2325,0,7	 //Inspiration
2331,0,7	 //Hell Gate
2332,0,7	 //Rampage Blaster
2335,0,7	 //Lightning Walk
2336,0,7	 //Knuckle Arrow
2337,0,7	 //Windmill
2338,0,7	 //Raising Dragon
2339,0,7	 //Gentle Touch
2340,0,7	 //Assimilate Power
2341,0,7	 //Power Velocity
